model_name,acc,MR1,MR1_acc,MR1_correct,MR1_incorrect,non_MR1,non_MR1_acc,non_MR1_correct,non_MR1_incorrect,MR2,MR2_acc,MR2_correct,MR2_incorrect,non_MR2,non_MR2_acc,non_MR2_correct,non_MR2_incorrect,MR1&2,MR1&2_acc,MR1&2_correct,MR1&2_incorrect,non_MR1&2,non_MR1&2_acc,non_MR1&2_correct,non_MR1&2_incorrect,acc_num
resnet_1_epoch_0,18.232%,1795.0,8.412%,151,1644,48205.0,18.598%,8965,39240,44472.0,9.426%,4192,40280,5528.0,89.074%,4924,604,1773,8.065%,143,1630,48227,18.606%,8973,39254,9116
resnet_1_epoch_5,47.912%,1577.0,13.697%,216,1361,48423.0,49.026%,23740,24683,30424.0,19.024%,5788,24636,19576.0,92.808%,18168,1408,1485,13.266%,197,1288,48515,48.972%,23759,24756,23956
resnet_1_epoch_10,52.292%,1608.0,13.557%,218,1390,48392.0,53.579%,25928,22464,27240.0,18.682%,5089,22151,22760.0,92.518%,21057,1703,1466,13.029%,191,1275,48534,53.478%,25955,22579,26146
resnet_1_epoch_15,51.404%,1557.0,13.038%,203,1354,48443.0,52.637%,25499,22944,28092.0,19.119%,5371,22721,21908.0,92.802%,20331,1577,1427,12.544%,179,1248,48573,52.546%,25523,23050,25702
resnet_1_epoch_20,51.152%,1683.0,12.240%,206,1477,48317.0,52.507%,25370,22947,27482.0,17.539%,4820,22662,22518.0,92.175%,20756,1762,1503,12.309%,185,1318,48497,52.356%,25391,23106,25576
resnet_1_epoch_25,53.264%,1505.0,13.621%,205,1300,48495.0,54.494%,26427,22068,26952.0,19.138%,5158,21794,23048.0,93.171%,21474,1574,1379,13.488%,186,1193,48621,54.392%,26446,22175,26632
resnet_1_epoch_30,67.928%,1422.0,20.534%,292,1130,48578.0,69.315%,33672,14906,19071.0,25.458%,4855,14216,30929.0,94.116%,29109,1820,1202,20.133%,242,960,48798,69.105%,33722,15076,33964
resnet_1_epoch_35,70.508%,1425.0,21.895%,312,1113,48575.0,71.934%,34942,13633,17782.0,26.516%,4715,13067,32218.0,94.789%,30539,1679,1184,21.706%,257,927,48816,71.692%,34997,13819,35254
resnet_1_epoch_40,69.954%,1403.0,22.452%,315,1088,48597.0,71.325%,34662,13935,18138.0,26.673%,4838,13300,31862.0,94.592%,30139,1723,1137,21.988%,250,887,48863,71.070%,34727,14136,34977
resnet_1_epoch_45,69.764%,1361.0,21.308%,290,1071,48639.0,71.120%,34592,14047,18352.0,26.531%,4869,13483,31648.0,94.834%,30013,1635,1117,21.486%,240,877,48883,70.867%,34642,14241,34882
resnet_1_epoch_50,69.412%,1312.0,22.256%,292,1020,48688.0,70.683%,34414,14274,18462.0,26.389%,4872,13590,31538.0,94.597%,29834,1704,1114,22.531%,251,863,48886,70.480%,34455,14431,34706
resnet_1_epoch_55,69.780%,1403.0,21.240%,298,1105,48597.0,71.181%,34592,14005,18576.0,27.476%,5104,13472,31424.0,94.787%,29786,1638,1194,20.854%,249,945,48806,70.977%,34641,14165,34890
resnet_1_epoch_60,74.192%,1358.0,24.153%,328,1030,48642.0,75.589%,36768,11874,15918.0,28.961%,4610,11308,34082.0,95.317%,32486,1596,1084,24.446%,265,819,48916,75.294%,36831,12085,37096
resnet_1_epoch_65,74.984%,1375.0,25.673%,353,1022,48625.0,76.378%,37139,11486,15456.0,29.212%,4515,10941,34544.0,95.464%,32977,1567,1090,25.413%,277,813,48910,76.089%,37215,11695,37492
resnet_1_epoch_70,75.278%,1337.0,26.028%,348,989,48663.0,76.631%,37291,11372,15198.0,29.425%,4472,10726,34802.0,95.302%,33167,1635,1034,25.725%,266,768,48966,76.324%,37373,11593,37639
resnet_1_epoch_75,75.416%,1330.0,24.511%,326,1004,48670.0,76.807%,37382,11288,15265.0,30.075%,4591,10674,34735.0,95.342%,33117,1618,1043,24.545%,256,787,48957,76.500%,37452,11505,37708
resnet_1_epoch_80,75.566%,1373.0,23.088%,317,1056,48627.0,77.048%,37466,11161,15069.0,29.557%,4454,10615,34931.0,95.414%,33329,1602,1053,22.697%,239,814,48947,76.703%,37544,11403,37783
resnet_1_epoch_85,75.604%,1327.0,25.320%,336,991,48673.0,76.975%,37466,11207,14967.0,29.325%,4389,10578,35033.0,95.376%,33413,1620,1018,25.246%,257,761,48982,76.651%,37545,11437,37802
resnet_1_epoch_90,76.038%,1373.0,26.948%,370,1003,48627.0,77.424%,37649,10978,14634.0,29.288%,4286,10348,35366.0,95.383%,33733,1633,1044,27.107%,283,761,48956,77.081%,37736,11220,38019
resnet_1_epoch_95,76.300%,1356.0,26.991%,366,990,48644.0,77.675%,37784,10860,14618.0,30.086%,4398,10220,35382.0,95.393%,33752,1630,1033,26.428%,273,760,48967,77.352%,37877,11090,38150
resnet_2_epoch_0,14.634%,1996.0,6.012%,120,1876,48004.0,14.993%,7197,40807,45154.0,7.029%,3174,41980,4846.0,85.493%,4143,703,1976,5.567%,110,1866,48024,15.007%,7207,40817,7317
resnet_2_epoch_5,47.906%,1591.0,13.388%,213,1378,48409.0,49.040%,23740,24669,30739.0,20.105%,6180,24559,19261.0,92.275%,17773,1488,1495,12.977%,194,1301,48505,48.983%,23759,24746,23953
