model_name,acc,MR1,MR1_acc,MR1_correct,MR1_incorrect,non_MR1,non_MR1_acc,non_MR1_correct,non_MR1_incorrect,MR2,MR2_acc,MR2_correct,MR2_incorrect,non_MR2,non_MR2_acc,non_MR2_correct,non_MR2_incorrect,MR1&2,MR1&2_acc,MR1&2_correct,MR1&2_incorrect,non_MR1&2,non_MR1&2_acc,non_MR1&2_correct,non_MR1&2_incorrect,acc_num
vgg16_1_epoch_0,3.936%,2162.0,1.989%,43,2119,47838.0,4.024%,1925,45913,48827.0,2.214%,1081,47746,1173.0,75.618%,887,286,2143,1.633%,35,2108,47857,4.039%,1933,45924,1968
vgg16_1_epoch_5,42.366%,1738.0,14.442%,251,1487,48262.0,43.372%,20932,27330,32614.0,17.137%,5589,27025,17386.0,89.693%,15594,1792,1636,13.998%,229,1407,48364,43.326%,20954,27410,21183
vgg16_1_epoch_10,54.160%,1587.0,17.517%,278,1309,48413.0,55.361%,26802,21611,26613.0,20.776%,5529,21084,23387.0,92.149%,21551,1836,1434,16.527%,237,1197,48566,55.271%,26843,21723,27080
vgg16_1_epoch_15,58.880%,1541.0,19.079%,294,1247,48459.0,60.146%,29146,19313,23992.0,22.070%,5295,18697,26008.0,92.837%,24145,1863,1358,18.704%,254,1104,48642,60.002%,29186,19456,29440
vgg16_1_epoch_20,61.062%,1459.0,19.260%,281,1178,48541.0,62.318%,30250,18291,22519.0,22.399%,5044,17475,27481.0,92.744%,25487,1994,1264,18.987%,240,1024,48736,62.153%,30291,18445,30531
vgg16_1_epoch_25,62.618%,1393.0,17.229%,240,1153,48607.0,63.919%,31069,17538,22053.0,23.743%,5236,16817,27947.0,93.294%,26073,1874,1191,17.296%,206,985,48809,63.724%,31103,17706,31309
vgg16_1_epoch_30,68.084%,1382.0,20.984%,290,1092,48618.0,69.423%,33752,14866,19208.0,26.203%,5033,14175,30792.0,94.210%,29009,1783,1162,20.224%,235,927,48838,69.223%,33807,15031,34042
vgg16_1_epoch_35,69.252%,1385.0,21.949%,304,1081,48615.0,70.600%,34322,14293,18536.0,26.910%,4988,13548,31464.0,94.197%,29638,1826,1141,21.034%,240,901,48859,70.378%,34386,14473,34626
vgg16_1_epoch_40,69.754%,1404.0,22.721%,319,1085,48596.0,71.113%,34558,14038,18327.0,27.184%,4982,13345,31673.0,94.386%,29895,1778,1153,22.290%,257,896,48847,70.874%,34620,14227,34877
vgg16_1_epoch_45,70.114%,1353.0,21.803%,295,1058,48647.0,71.458%,34762,13885,18125.0,27.597%,5002,13123,31875.0,94.290%,30055,1820,1092,21.612%,236,856,48908,71.197%,34821,14087,35057
